"sample","PGS000003","PGS000030","PGS000102","PGS000103","PGS000109","PGS000160","PGS000177","PGS000333","PGS000363","PGS000388","PGS000497","PGS000505","PGS000574","PGS000601","PGS000607","PGS000725","PGS000776","PGS000844","PGS000876","PGS000893","PGS000911","PGS002242","PGS002255","PGS002322","PGS002392","PGS002416","PGS002437","PGS002462","PGS002565","PGS002615","PGS002628","PGS002682","PGS002693","PGS002695","PGS002827","PGS002864","PGS002910","PGS002916","PGS002943","PGS002951","PGS002953","PGS002986","PGS002987","PGS003023","PGS003075","PGS003146","PGS003170","PGS003183","PGS003215","PGS003312"
"Sample_1",-0.567722798092291,0.352875959186349,-0.772276905878153,-1.43728321286476,0.057727126069313,11.5813065767288,-1.04892207387093,-0.418463545220232,0.025234778788446,-0.315219250340369,-0.704137554868794,0.606936030038924,-0.050124649579003,2.50640969537199,-0.163529137708833,0.041787996888161,0,0.391128142689922,0.044682420790196,-2.33573587244882,-2.2738422827022,-0.345073271432037,-0.046392430560151,0.5097556122364,-197.425820476071,-275.48002535314,3.88108950436072,-4.50356979307662,2.38006825264983,-0.162484236227101,0.234439411840109,-0.09176878104914,0.12036339196283,0.74281604373006,0.401595940053085,0.859009855120383,0.302186362388284,-2.59169099841893,-0.159330138384907,0.155578014615458,0.614769942479956,-3.03423482845756,0.007527165873251,0.016084448301342,46.7831048263179,-2.05793783430909,-4.01882705195749,-0.652138995626977,0.371431382143783,-0.266257590213366
"Sample_2",0.263677074806765,0.773851000005379,-0.621674770929585,-1.44085549197036,-0.577822897644047,7.62472403049469,-1.14879792094416,-0.452019096839052,-0.010484656437476,-0.102808143459819,-0.383818978687486,0.932870525277394,-0.054400449015594,0.836868070065975,0.024553090986428,-0.358524031937122,0,0.409254693907315,0.020838019961957,1.91400784759026,-2.51578801225241,-0.257385687950179,-0.019272740146993,0.169419128365666,-198.413180738343,-274.329371539624,6.15373889784587,2.92667383101298,-0.556079971031977,-0.816457768814871,0.042876501670685,0.127322077426981,0.190484630033297,0.603434792518987,0.304448197333841,0.442142597301863,0.063285312485164,-0.769741059368243,0.336601303717945,0.088711012154818,0.372508053059503,-6.57591988458171,0.063486117288419,0.013600206020159,40.2080883471936,0.001975946854145,-20.1926467783487,-0.312918655112328,1.98943860105646,-0.244067655632477
"Sample_3",-0.470573429309297,0.408748985355487,-0.59335213131602,-1.25593873690429,0.635560562363904,4.48824123851955,-0.597889766447224,-0.843021607784087,0.061155788419021,-0.207584609840454,-0.19197650096612,0.810574505620025,-0.239103253395345,2.60227999300696,-0.067058023726296,0.416353963315487,0,0.482891921445116,0.292041327345942,0.910815411514704,-2.27011454924454,-0.187095887585016,-0.047042458105271,0.213935631289048,-197.163756756012,-275.216503919797,6.15381858339242,5.13410256437555,-1.9562154145251,0.897910023675649,0.328899554707991,0.131310314878172,0.078177543419374,0.559269483350361,0.301041113212705,0.759591885032683,0.391496436111311,-2.53877571280464,-0.02655532428318,0.126867013052106,0.444224165143084,-7.01540149892753,-0.004001380849695,0.017908737819167,44.1710669917957,-0.524817153775985,0.603740981387091,-0.171042335474517,4.45818153816799,-0.525504783769623
"Sample_4",-0.583960184128955,0.003194957971573,-0.845117597201714,-1.49329533931594,1.04627288031912,0.610348165035248,-1.0357872020104,-0.71189477043935,0.115349837716888,-0.168582789535949,-1.54527173241149,-0.654794950882206,-0.271316732389889,2.10512932843994,-0.14216239597531,0.048814009409398,0,0.810075620122007,0.9179900145391,1.33393295758879,-2.35859798589345,-0.669133748837561,0.009267271997779,-0.071169035930206,-198.45471508626,-274.942868537275,3.16984654732641,6.29011679250107,-2.38721870099653,-0.127304915104105,0.04643293811331,-0.040092609643723,-0.344227104303972,0.532820584957577,0.425319995731115,-0.734160347215684,0.09978100962212,-1.04406814551294,0.058201982444379,-0.115841995342635,0.153843425668977,-6.35202411708542,0.023430066206343,0.009692469881193,43.2049810407771,-1.3531866871399,-8.96829724476265,-0.068448736167949,-3.64203279789945,-0.526236873477659
"Sample_5",-0.343645531916991,1.15098401705109,0.253212093970622,0.103002242244238,-0.00477143405308,19.5571370990947,0.790499681666915,-0.176546274152196,-0.096157282873023,0.029124171413958,0.274071125815681,1.0086259478885,0.058560319415782,1.71142607106594,-0.10457462924373,-0.477034047245979,0,0.589679388398508,0.214324191794731,-2.18449862728812,-1.29803294495165,-0.43308385828198,-0.016589824119923,0.509426450747201,-198.556474652298,-276.263932068888,7.82075135235846,11.593104733548,5.20957318530145,-0.959858623969922,0.223502615013957,0.124154755896713,0.30499333483015,0.740592582121251,0.347724594175816,-0.3648470693634,0.469705051580718,-1.83287482936976,0.170371298509625,0.209751002075791,0.66156495854841,-5.9246039736272,-0.01202136691816,-0.013636096513741,83.6944026204874,-3.73924964939579,-18.6709643531358,-0.399919529094114,1.11081702471711,-0.514581677724211
"Sample_6",-0.333834392185963,0.60041001776699,-0.651990198812803,-1.27414026247238,-0.117041576402909,13.129553979612,-0.268395069879261,-0.472000533366673,0.055527026325588,-0.27326726354143,-1.62745249633008,0.193067779160629,-0.408242542372659,0.714568309485912,-0.226390796209165,0.423289967700839,0,0.728473946594022,0.302892732492182,-0.164794313900075,-2.27786152797319,-0.849773130106098,0.039298304260164,0.132974016057148,-198.075210157598,-273.408580896877,5.15591750618933,3.05955919818916,6.47328053380534,0.001813813865738,0.091435571603095,0.125368919092433,-0.023501964888506,0.601527062954834,0.394418842799496,-0.069820520378101,0.356774047404656,-1.53455174944702,-0.160886233451219,-0.072320000967011,-0.13696529572438,-6.71867773802387,0.055216048206082,-0.005976536594181,41.7893189892638,-1.52031182827886,-3.95218469490646,-0.461417123867132,2.88859977408356,-0.259894180905568
"Sample_7",-0.158315731820039,0.899353017324756,-0.647078206190515,-1.29344382668872,0.468026571205718,18.3159701074474,-1.21172648789434,-0.390982550821538,-0.00892092298299,-0.155589862558254,-1.74794574963744,-0.291192828954081,-0.016291479877517,1.34565503895283,-0.043939187152444,0.77217498421669,0,0.77967461321532,0.269200512731913,2.52303799253968,-1.08098323724235,-0.281213740479086,-0.076213293525715,-0.121838820373799,-197.367002909958,-275.213384829642,5.81382238012066,-3.53615926643761,1.99532957765587,0.356372573463886,0.309964151643526,0.15733811768408,0.146548377514711,0.326210307655287,0.304865768179297,0.80210732252706,0.266259287264347,-2.02267538258639,-0.057485711266841,0.167486009420827,0.327735884335292,-7.1376159742058,0.035483723049677,-0.009894093020627,49.2595428009809,0.43294605812298,-1.57623229446472,-0.152239298693708,-2.82454621621946,-0.273547721801986
"Sample_8",-0.104286941699684,0.019584987312555,-0.485178279419866,-0.527346589045207,0.10129911241248,5.06211756344419,-0.474373677732729,-0.785153175626182,0.065926843351846,-0.207191834869137,-1.3145257525357,-0.239312926296407,-0.375508798657243,1.56261416681809,0.07224820126486,0.256083998829126,0,0.724348023785751,0.35455729442765,1.37765906004461,-2.48775846548242,-0.473388945353035,-0.005378533233593,0.419793050485274,-198.363798969391,-272.180421035092,6.60221114928663,3.03010766045736,2.88559231908494,-0.038634285386252,-0.00545933849862,0.186263015096211,0.039886174678712,0.643729591091562,0.077055612498953,0.212305430706208,0.092477044026623,-1.04098376852562,0.285173909437147,0.309682011516998,0.274783178951157,-4.54419996004344,0.050188925946983,0.014185898697316,59.7987575101579,-1.63849297512479,-19.8207539084688,-0.320032071013504,-1.37420583848143,-0.25860453967255
"Sample_9",-0.070553882804234,0.611074952292256,-0.627543211693437,-0.980317391945429,-0.132959366324806,12.6160031112377,-0.700266745246154,-0.456070085328865,0.105061797396265,-0.25243996623697,-1.85809966545276,-0.183310476208135,-0.238205291689567,-0.014113908546278,-0.120682426603074,0.344133988022804,0,0.365932734299349,-0.296334426151589,1.64705421699182,-1.62120194323143,-1.05928110114598,-0.037539569945897,0.411624262377706,-197.857358495494,-274.530370830889,6.06564325360159,1.16928377561817,2.49679259780078,-0.473376031593944,0.143702131432824,0.041809813151544,0.452440572969145,0.40151127661386,0.390258960454958,-0.675023858866509,0.08518477605503,-0.13704446916563,-0.002403885115443,0.33424499872126,0.390342750478451,-9.66736839361602,-0.018261287918644,0.00643247811934,34.2906249411317,-2.54127197839443,-13.2454552573763,-0.587099430346204,2.38822773450011,-0.51424695390763
"Sample_10",-0.696401502787921,0.726918985223165,-0.209917023935893,-0.596976628849201,0.65241182604142,11.3138837511651,0.077552263974212,-0.660531440846794,-0.025614216538868,0.007922924800017,-0.691955755519302,0.509828602029302,-0.348106642079374,2.44556553661823,-0.09027791285324,0.632323987782002,0,0.325765090588902,-0.011993289808743,-0.521724694568547,-2.44798022413933,-0.731086515123662,-0.003929620434762,0.395382925703177,-197.798269855601,-275.475283475985,6.50973111062649,8.19561558656551,-3.51172407635568,0.908307683628664,0.324167425287937,0.147002219613898,0.192718773940409,0.51696094656006,0.360922498628497,-0.799754402432729,0.372890908116233,-3.20714585800488,-0.011413629322874,-0.029273996909979,-0.171976820656479,-8.41473894516366,0.034030201836535,-0.006912264967775,80.9798311006889,-2.03188981179528,-13.1765975319577,-0.574404369975605,-2.86340960791495,-0.521533726360432
